27.03.2020;08:16; Stillen
27.03.2020;09:30; Stillen
27.03.2020;09:34; Einschlafen
27.03.2020;09:57; Aufwachen
27.03.2020;10:17; Einschlafen
27.03.2020;12:34; Stillen
27.03.2020;12:43; Aufwachen
27.03.2020;14:01; Brei
27.03.2020;15:20; Stillen
27.03.2020;15:25; Einschlafen
27.03.2020;16:07; Aufwachen
27.03.2020;18:24; Einschlafen
27.03.2020;18:41; Aufwachen
27.03.2020;19:05; Stillen
27.03.2020;20:23; Stillen
27.03.2020;20:49; Einschlafen
27.03.2020;23:13; Stillen
28.03.2020;01:28; Stillen
28.03.2020;04:19; Stillen
28.03.2020;05:07; Stillen
28.03.2020;06:53; Stillen
28.03.2020;07:30; Aufwachen 
28.03.2020;09:11; Stillen
28.03.2020;10:25; Einschlafen
28.03.2020;11:12; Aufwachen
28.03.2020;11:47; Stillen
28.03.2020;13:13; Brei
28.03.2020;13:53; Einschlafen
28.03.2020;14:03; Stillen
28.03.2020;15:21; Aufwachen
28.03.2020;17:20; Einschlafen
28.03.2020;18:04; Aufwachen
28.03.2020;18:25; Brei
28.03.2020;19:34; Stillen
28.03.2020;19:56; Stillen
28.03.2020;20:00; Einschlafen
29.03.2020;02:00; Stillen
29.03.2020;04:24; Stillen
29.03.2020;06:20; Stillen
29.03.2020;06:42; Stillen
29.03.2020;07:37; Stillen
29.03.2020;08:56; Stillen
29.03.2020;09:04; Aufwachen
29.03.2020;11:22; Einschlafen
29.03.2020;12:01; Aufwachen
29.03.2020;12:40; Brei
29.03.2020;14:12; Stillen
29.03.2020;14:25; Einschlafen
29.03.2020;16:55; Aufwachen
29.03.2020;17:40; Brei
29.03.2020;20:08; Stillen
29.03.2020;20:18; Einschlafen
29.03.2020;22:08; Stillen
30.03.2020;00:40; Stillen
30.03.2020;02:27; Stillen
30.03.2020;04:40; Stillen
30.03.2020;06:14; Stillen
30.03.2020;07:36; Stillen
30.03.2020;08:38; Aufwachen
30.03.2020;10:12; Stillen
30.03.2020;10:38; Einschlafen
30.03.2020;11:25; Aufwachen
30.03.2020;12:09; Brei
30.03.2020;13:47; Stillen
30.03.2020;13:54; Einschlafen
30.03.2020;14:13; Aufwachen
30.03.2020;15:03; Einschlafen
30.03.2020;15:43; Aufwachen
30.03.2020;16:50; Stillen
30.03.2020;19:46; Stillen
30.03.2020;19:58; Einschlafen
30.03.2020;23:24; Stillen
31.03.2020;03:08; Stillen
31.03.2020;05:16; Stillen
31.03.2020;06:49; Aufwachen
31.03.2020;07:54; Stillen 
31.03.2020;09:14; Einschlafen
31.03.2020;10:14; Stillen
31.03.2020;11:33; Aufwachen
31.03.2020;12:32; Brei
31.03.2020;13:57; Stillen
31.03.2020;14:05; Einschlafen
31.03.2020;14:34; Aufwachen
31.03.2020;16:34; Einschlafen
31.03.2020;17:14; Aufwachen
31.03.2020;17:37; Brei
31.03.2020;19:39; Stillen
31.03.2020;19:50; Einschlafen
31.03.2020;22:32; Stillen
01.04.2020;02:01; Stillen
01.04.2020;06:05; Stillen
01.04.2020;07:45; Aufwachen
01.04.2020;09:44; Einschlafen
01.04.2020;10:09; Aufwachen
01.04.2020;10:49; Stillen
01.04.2020;11:57; Einschlafen
01.04.2020;13:42; Aufwachen
01.04.2020;13:57; Brei
01.04.2020;15:15; Stillen
